@RELATION PPI

@ATTRIBUTE Protein1 STRING
@ATTRIBUTE Protein2 STRING
@ATTRIBUTE ProteinExpressionSim NUMERIC
@ATTRIBUTE GeneExpressionSim NUMERIC
@ATTRIBUTE DIPSim NUMERIC
@ATTRIBUTE PositiveData {true,false}

@DATA
Q0080, YBL099W, 0.26, 0.20, 0.04, true
YBL099W, Q0080, 0.26, 0.20, 0.04, true
Q0085, YBL099W, 0.26, 0.20, 0.41, true
YBL099W, Q0085, 0.26, 0.20, 0.41, true
Q0085, YPL078C, 0.26, 0.20, 0.27, true
YPL078C, Q0085, 0.26, 0.20, 0.27, true
Q0115, YIR021W, 0.26, 0.20, 0.00, true
YIR021W, Q0115, 0.26, 0.20, 0.00, true
Q0130, YBL099W, 0.26, 0.20, 0.05, true
YBL099W, Q0130, 0.26, 0.20, 0.05, true
Q0250, YBR024W, 0.26, 0.20, 0.13, true
YBR024W, Q0250, 0.26, 0.20, 0.13, true
Q0250, YBR037C, 0.26, 0.20, 0.16, true
YBR037C, Q0250, 0.26, 0.20, 0.16, true
Q0250, YER154W, 0.26, 0.20, 0.00, true
YER154W, Q0250, 0.26, 0.20, 0.00, true
Q0250, YMR257C, 0.26, 0.20, 0.00, true
YMR257C, Q0250, 0.26, 0.20, 0.00, true
Q0275, YER153C, 0.26, 0.20, 0.00, true
YER153C, Q0275, 0.26, 0.20, 0.00, true
Q0275, YER154W, 0.26, 0.20, 0.00, true
YER154W, Q0275, 0.26, 0.20, 0.00, true
Q0275, YNR045W, 0.26, 0.20, 0.00, true
YNR045W, Q0275, 0.26, 0.20, 0.00, true
YAL001C, YBR123C, 0.40, 0.14, 0.00, true
YBR123C, YAL001C, 0.40, 0.14, 0.00, true
YAL001C, YDR362C, 0.38, 0.42, 0.27, true
YDR362C, YAL001C, 0.38, 0.42, 0.27, true
YAL001C, YDR381W, 0.23, 0.04, 0.00, true
YDR381W, YAL001C, 0.23, 0.04, 0.00, true
YAL001C, YGR047C, 0.45, 0.33, 0.13, true
YGR047C, YAL001C, 0.45, 0.33, 0.13, true
YAL001C, YOR110W, 0.32, -0.22, 0.12, true
YOR110W, YAL001C, 0.32, -0.22, 0.12, true
YAL001C, YPL007C, 0.35, 0.13, 0.44, true
YPL007C, YAL001C, 0.35, 0.13, 0.44, true
YAL002W, YLR148W, 0.53, 0.10, 0.25, true
YLR148W, YAL002W, 0.53, 0.10, 0.25, true
YAL002W, YLR396C, 0.57, -0.13, 0.36, true
YLR396C, YAL002W, 0.57, -0.13, 0.36, true
YAL002W, YLR418C, 0.30, -0.25, 0.00, true
YLR418C, YAL002W, 0.30, -0.25, 0.00, true
YAL002W, YMR231W, 0.57, 0.24, 0.36, true
YMR231W, YAL002W, 0.57, 0.24, 0.36, true
YAL002W, YPL045W, 0.46, 0.16, 0.36, true
YPL045W, YAL002W, 0.46, 0.16, 0.36, true
YAL003W, YBR118W, 0.18, 0.65, 0.08, true
YBR118W, YAL003W, 0.18, 0.65, 0.08, true
YAL003W, YKL081W, 0.25, 0.78, 0.11, true
YKL081W, YAL003W, 0.25, 0.78, 0.11, true
YAL003W, YPL048W, 0.17, -0.07, 0.27, true
YPL048W, YAL003W, 0.17, -0.07, 0.27, true
YAL005C, YAR002W, 0.31, 0.11, 0.07, true
YAR002W, YAL005C, 0.31, 0.11, 0.07, true
YAL005C, YBL075C, 0.46, 0.63, 0.05, true
YBL075C, YAL005C, 0.46, 0.63, 0.05, true
YAL005C, YDR172W, 0.24, 0.31, 0.00, true
YDR172W, YAL005C, 0.24, 0.31, 0.00, true
YAL005C, YDR192C, 0.28, 0.06, 0.06, true
YDR192C, YAL005C, 0.28, 0.06, 0.06, true
YAL005C, YER165W, 0.32, 0.06, 0.14, true
YER165W, YAL005C, 0.32, 0.06, 0.14, true
YAL005C, YLL024C, 0.97, 0.94, 0.08, true
YLL024C, YAL005C, 0.97, 0.94, 0.08, true
YAL005C, YLR310C, 0.35, 0.07, 0.01, true
YLR310C, YAL005C, 0.35, 0.07, 0.01, true
